cname1,ccode1,territor,river,maritime,milex_i,milper_i,cinc_i,domrel_i,englishlanguage_i,frenchlanguage_i,arabiclanguage_i,spanishlanguage_i,navaltonnage_i,jointigo,same_major_relig,corr_relig,ptacnt,capitaldistance,centdistance,mindistance,polity2_i,xrreg_i,xrcomp_i,xropen_i,xconst_i,parreg_i,parcomp_i,exrec_i,exconst_i,polcomp_i,gdp_i,gdpcap_i,pop_i,infantmortality_i,fdiingdp_i,fdioutgdp_i,aidgni_i,fuelexports_i,r_eastasia,r_europe,r_latin,r_me,r_none,r_na,r_southasia,r_africa,migration_ij,migration_ji,trade_ij,expfob_ij,expfob_ji
MOROCCO,600,0,0,0,926235.6552748885,139.47926,.0031052926516278,2,0,0,1,0,2066.037872267172,8.3694448,.23452024,.2273009791217994,.38723934,6239.9556,6330.5469,5188.4536,3.6655409,.1727678,-1.7650952,-1.0378225,-.63298661,.85627449,-.74983114,-1.0378225,-.63298661,-.37174118,38984099166.4073,1578.960521547335,22270264.49155748,81.11194110495855,.610066828572748,.0860633399491459,2.686844599392833,2.17979829005484,0,0,0,1,0,0,0,0,8012383,3681449,401869977622.5645,126936163879.1,224303815185.1899
MOZAMBIQUE,541,0,0,0,121288.6562736206,29.564058,.0010325131141345,0,0,0,0,0,0,7.9079742,.29465526,.5133057832427517,.60930592,8104.4292,7690.9243,6574.2988,8.9701433,2,1.431217,4,3.1245277,3.1375661,2.3958805,4.7248678,3.1245277,4.5519652,3391778267.944233,209.1675541188118,14939605.33975813,148.7383786848059,1.983800133375448,.0481121190357829,26.46399617221403,11.01756769471164,0,0,0,0,0,0,0,1,4296275,5088679,37764073702.65217,9483534233.598946,23133566815.83176
MYANMAR,775,0,0,0,1204941.52910982,245.74037,.0040865550587599,3,0,0,0,0,1830,2.2927191,.042757042,.043473031975005,.012429222,8915.9551,8715.3584,7695.6836,4.3782248,1.8697826,.71471024,2.6329865,2.3224368,3.9435365,1.1181953,3.6662164,2.3224368,1.2311225,9557617827.388884,245.4264645663131,36273145.27110631,86.40393040236017,2.438330088186839,,1.409238344090933,.7701958466926296,1,0,0,0,0,0,0,0,5539780,5659669,79005234600.81683,27618914146.65555,40982910420.43981
NAMIBIA,565,0,0,0,94985.43393552958,7.7318454,.0001391232376904,1,1,0,0,0,0,8.5345373,.63482112,.639568767328167,.5354839,7921.4238,7928.9438,6782.7021,17,2,2,4,5,2,4,7,5,9,,,,,,,0,,0,0,0,0,1,0,0,0,1647129,2660878,14831944370.96664,0,4403254539.555529
NAURU,971,0,0,0,0,0,3.41333833458e-07,1,1,0,0,0,0,.059990477,.64417177,.6461377186069435,.025906736,12842.626,12792.613,12303.688,,,,,,,,,,,,,8669.192509125536,39.50862653114477,,,0,,0,0,0,0,1,0,0,0,1118533,3016617,629351556.0002377,0,1205735591.588067
NEPAL,790,0,0,0,39016.13129812238,33.816967,.0009243218560043,4,0,0,0,0,0,1.8084561,.011726012,-.0361269993834691,.01450076,8006.3281,7872.9102,7069.6509,7.9991894,3,1.5049304,2.4766986,3.2765095,3.3720114,1.4171282,3.9914899,3.2765095,3.1541266,6409367938.516694,349.3306627240568,17349676.50236391,121.209388085914,.083245716847822,,6.722757245157254,.0019115023407509,0,0,0,0,0,0,1,0,5277853,5675899,31227834683.67701,6952762563.656985,15183400483.29666
NETHERLANDS,210,.0030120481,.0239457831325301,.0030120481,4954192.695799001,94.148315,.0063792902201811,1,0,0,0,0,87550.25327569904,24.119276,.60031462,.6103725631815682,1.478387,6128.4277,6128.7559,5525.8872,21,3,3,4,7,5,5,8,7,10,484596626145.9216,32807.18258749304,14418163.27043091,8.602485478859805,4.562413112489625,6.597653628845463,0,11.89448656844672,0,1,0,0,0,0,0,0,10383687,6853573,7773605235235.569,3170297200432.89,4071017055708.565
NEW ZEALAND,920,0,0,0,548611.4437390247,11.670403,.0007485998379036,1,1,0,0,0,11693.22031608807,.46467647,.60031462,.6037820877301257,.044883303,13948.315,13792.727,12565.665,21,3,3,4,7,5,5,8,7,10,94462025310.21637,26443.93985577526,3299723.449952722,11.56767526678347,2.380426653346151,.3817837260224237,0,1.553813906094044,1,0,0,0,0,0,0,0,6948235,9779553,656215751455.1254,284956753717.6501,275677454942.5487
NICARAGUA,93,0,.1272590361445783,0,106423.0309334054,21.605024,.0004114141834391,1,0,0,0,1,0,19.138187,.60031462,.6019537235178606,.27551442,10124.167,10069.926,9323.0752,10.73065,-1.1098204,-1.7991354,-.34999326,.11927597,-.47913009,-.90584898,1.870593,.11927597,1.1211671,5576040561.141923,1619.47810323504,3677397.149263812,71.18266918816673,3.134408606205365,0,22.84426121052774,.7963563228110705,0,0,1,0,0,0,0,0,4864041,6393025,58311066059.1476,14407776597.42187,30324732259.13689
NIGER,436,0,0,0,15465.18242780895,4.3120294,.0003421764746134,2,0,1,0,0,0,11.649103,.23526002,.2358434567977834,.51867396,6369.9297,6162.6533,4946.7295,8.0461197,-.17558506,-.98166144,.4182291,.9443,1.4841932,-.22758998,2.6690845,.9443,.91323388,,,7571214.103872999,120.5316494217891,,,0,.5440767415296592,0,0,0,0,0,0,0,1,4199903,7197998,20337185578.20023,8117918821.920624,10496331702.74536
NIGERIA,475,0,0,0,712412.8827152046,123.64677,.0062713036950871,2,1,0,0,0,4076.761346998536,12.227042,.34376359,.6066684717797966,.45782626,6402.0073,6394.9297,5322.335,9.3550024,-2.6545777,-3.2299166,-2.6703162,-1.3283153,-1.0714383,-2.8468592,.9573012,-1.3283153,-1.2076092,128026716218.3103,1485.617843694478,87365404.01382236,132.6550043140606,2.776665950912284,.653569860050134,.801220779051126,79.18702061227593,0,0,0,0,0,0,0,1,8191928,9941555,773633037171.6232,421568535468.377,243109843228.9332
NORWAY,385,0,.0668674698795181,0,2175491.071322437,35.689854,.001633875374848,1,0,0,0,0,11899.96717546941,14.566797,.60031462,.6035327978291255,.16917554,6369.4146,6558.5591,5525.1396,21,3,3,4,7,5,5,8,7,10,236094886417.1998,55496.22276085961,4158008.61245441,8.482655680129685,1.315611577652388,1.800704298157368,0,36.41410599052614,0,1,0,0,0,0,0,0,7469134,10341912,1835373508745.618,947498571026.4321,711718229097.1148
OMAN,698,0,0,0,1631624.409068261,27.540773,.0006932990865305,3,0,0,1,0,0,2.8277726,.23923445,.2381518873988033,.10330065,6849.645,6781.3281,5892.3467,1.4843982,3,1,1,1.3813319,4,1.1030663,1,1.3813319,1.1030663,23784033832.83747,13386.67392763449,1508464.502228826,72.49421740339244,1.177680650252007,.3356961276582681,2.140309824698468,85.68423010055209,0,0,0,1,0,0,0,0,3900716,4576677,288003118813.1398,177594343403.4288,100024007735.4453
PAKISTAN,770,0,0,0,2047649.294880454,500.8783,.011294398446576,2,0,0,0,0,40884.6342023504,3.3780899,.23452024,.2344782368245822,.21088247,7308.1841,7159.4395,5936.5576,11.292719,-4.6247468,-5.2484126,-4.6567607,-3.085506,-3.6691883,-4.427124,-.91287315,-3.085506,-2.6636498,67628464579.80011,643.6925335691295,95502083.71970822,118.3777387545558,.569158713659585,.0195929912878385,3.515727452467994,1.890510266747959,0,0,0,0,0,0,1,0,9615100,8935049,440295377879.6154,164589581787.7531,259735684107.0807
PALAU,986,0,0,0,0,0,6.90442427138e-07,1,1,0,0,0,0,.10941233,.63978755,.6454106021124094,.058994196,11072.42,11008.656,10535.968,,,,,,,,,,,199235928.1497569,10540.64968831117,18913.36837075968,22.97754419493563,7.744366892627666,-.0083057304146829,40.98821476972063,,1,0,0,0,0,0,0,0,761549,988947,185044516.8246021,0,100938320.4878987
PANAMA,95,0,.0551204819277108,0,68165.52181548021,6.9555588,.0002841634607592,1,0,0,0,1,0,18.526678,.60031462,.6045756954706353,.1394835,9895.8086,9989.8115,9246.9033,12.347292,2.4086182,1.7877887,3.2132919,3.9475889,3.7403755,3.0501149,6.0318789,3.9475889,5.7764421,10123619819.4896,4269.701974563572,2236421.940429556,34.4666756720242,3.103052138848589,1.137478456381579,1.085292662603977,13.53991568619089,0,0,1,0,0,0,0,0,4334462,6498084,131011314253.8053,17360289042.95251,301605989931.3933
